,cluster,protein
0,0,Q0010
1,0,Q0017
2,0,Q0143
3,0,Q0092
4,0,Q0182
5,0,Q0297
6,0,Q0032
7,0,Q0142
8,1,YPL135W
9,1,YER048W-A
10,1,YLL027W
11,1,YPL252C
12,1,YPR067W
13,1,YOR226C
14,2,YCL017C
15,3,YDL120W
16,4,YGL018C
17,4,YLR369W
18,5,YJR122W
19,5,YKL040C
20,5,YPL059W
21,6,YMR301C
22,7,YOR196C
23,8,YOR232W
24,8,YLR008C
25,8,YNL328C
26,8,YFL016C
27,8,YNL310C
28,9,YAL044W-A
29,9,YAL046C
30,9,YER174C
31,9,YGL220W
32,10,YGL043W
33,10,YBR279W
34,10,YDL108W
35,10,YDL140C
36,10,YDR079C-A
37,10,YDR404C
38,10,YGL070C
39,10,YPR133C
40,10,YPL122C
41,10,YGR116W
42,10,YOR123C
43,10,YLR418C
44,10,YGL244W
45,10,YPR086W
46,10,YML010W
47,10,YPR161C
48,10,YKL028W
49,10,YIL021W
50,10,YGR063C
51,10,YMR277W
52,10,YKL005C
53,10,YJL006C
54,10,YKR062W
55,10,YGR186W
56,10,YOL005C
57,10,YOR151C
58,10,YJL140W
59,10,YGR005C
60,10,YBR236C
61,10,YPR056W
62,10,YKL058W
63,10,YML112W
64,10,YLR226W
65,10,YDR460W
66,10,YDR289C
67,10,YKL139W
68,10,YPR025C
69,10,YMR039C
70,10,YJR072C
71,10,YOR194C
72,10,YER139C
73,10,YKL160W
74,10,YGL130W
75,10,YJR017C
76,10,YPL228W
77,11,YBL022C
78,12,YBR154C
79,12,YDR045C
80,12,YOR210W
81,12,YNL113W
82,12,YOR224C
83,12,YHR143W-A
84,12,YPR187W
85,12,YJR063W
86,12,YPR110C
87,12,YDL115C
88,12,YKL125W
89,12,YDR156W
90,12,YJL148W
91,12,YLR243W
92,12,YFL023W
93,13,YDR311W
94,13,YER171W
95,13,YIL143C
96,13,YLR005W
97,13,YBR114W
98,13,YJR052W
99,13,YOR352W
100,14,YDR443C
101,14,YGL127C
102,14,YBR193C
103,14,YBR253W
104,14,YLR071C
105,14,YMR112C
106,14,YOR174W
107,14,YPR168W
108,14,YGR104C
109,14,YHR041C
110,14,YHR058C
111,14,YDR308C
112,14,YER022W
113,14,YOL135C
114,14,YDL005C
115,14,YBL093C
116,14,YCR081W
117,14,YNL236W
118,14,YGL151W
119,14,YPR070W
120,14,YGL025C
121,14,YNR010W
122,14,YOL051W
123,14,YNL025C
124,15,YER148W
125,15,YOR207C
126,15,YDL150W
127,15,YDR362C
128,15,YGR047C
129,15,YGR246C
130,15,YJL011C
131,15,YKL144C
132,15,YKR025W
133,15,YNL039W
134,15,YNL151C
135,15,YNR003C
136,15,YOR116C
137,15,YPR190C
138,15,YGR274C
139,15,YGL112C
140,15,YAL001C
141,15,YBR123C
142,15,YBR198C
143,15,YCR042C
144,15,YDR145W
145,15,YDR167W
146,15,YDR397C
147,15,YML015C
148,15,YMR236W
149,15,YER159C
150,15,YPL082C
151,15,YMR005W
152,15,YPL011C
153,15,YML098W
154,15,YOR110W
155,15,YMR227C
156,15,YPL007C
157,15,YPR186C
158,15,YML114C
159,15,YDL070W
160,16,YER164W
161,16,YGR252W
162,16,YBR081C
163,16,YDR176W
164,16,YDR392W
165,16,YDR448W
166,16,YPL254W
167,16,YMR223W
168,16,YGL066W
169,16,YOL148C
170,16,YLR055C
171,16,YHR090C
172,16,YBR111W-A
173,16,YMR127C
174,16,YOR244W
175,16,YCL010C
176,16,YOR213C
177,16,YOR023C
178,16,YJR082C
179,16,YPL047W
180,16,YCR082W
181,17,YNL230C
182,17,YPL046C
183,17,YOL133W
184,17,YJL047C
185,17,YLR320W
186,17,YPR164W
187,17,YPR066W
188,17,YLR306W
189,18,YPL042C
190,18,YOL128C
191,19,YKL110C
192,19,YHR111W
193,19,YGL211W
194,19,YLR384C
195,19,YPL086C
196,19,YGR200C
197,19,YHR187W
198,19,YMR312W
199,19,YPL101W
200,20,YOR298C-A
201,20,YMR186W
202,20,YPL240C
203,20,YBR155W
204,20,YDR168W
205,20,YDR214W
206,20,YGR123C
207,20,YJR032W
208,20,YKL117W
209,20,YLR216C
210,20,YNL281W
211,20,YOR027W
212,20,YOR057W
213,21,YPL129W
214,21,YOR064C
215,21,YDL002C
216,21,YGL150C
217,21,YPR031W
218,21,YLR455W
219,21,YKL017C
220,22,YGL207W
221,22,YML069W
222,22,YPR052C
223,22,YGR270W
224,22,YBR089C-A
225,23,YOL145C
226,23,YFR016C
227,24,YJR035W
228,24,YDR030C
229,24,YKL054C
230,25,YCR057C
231,25,YDR496C
232,25,YER082C
233,25,YGR245C
234,25,YHR170W
235,25,YJL109C
236,25,YKR024C
237,25,YLR129W
238,25,YLR222C
239,25,YLR409C
240,25,YMR049C
241,25,YMR229C
242,25,YNL132W
243,25,YNL248C
244,25,YOR206W
245,25,YPL226W
246,25,YPL217C
247,25,YPL012W
248,25,YLR106C
249,25,YHR197W
250,25,YPL093W
251,25,YPL146C
252,25,YDR161W
253,25,YKL009W
254,25,YKL172W
255,25,YER006W
256,25,YDR101C
257,25,YGR103W
258,25,YMR290C
259,25,YER126C
260,25,YNR053C
261,25,YLR009W
262,25,YOR294W
263,25,YKR081C
264,25,YNL110C
265,25,YGL099W
266,25,YOR340C
267,25,YDR087C
268,25,YNL112W
269,25,YBL004W
270,25,YBR247C
271,25,YCL031C
272,25,YCL059C
273,25,YDL060W
274,25,YDL148C
275,25,YDL213C
276,25,YDR299W
277,25,YDR324C
278,25,YDR449C
279,25,YFL002C
280,25,YGL019W
281,25,YGL120C
282,25,YGL171W
283,25,YGR081C
284,25,YGR090W
285,25,YGR128C
286,25,YGR145W
287,25,YHR148W
288,25,YHR169W
289,25,YHR196W
